제목,링크
"아이브, 'Kitsch' 열풍 시작 됐다",http://www.osen.co.kr/article/G1112071643
뉴진스 대기록 막아선 아이브 '키치'…흥미진진 1위 싸움,http://starin.edaily.co.kr/news/newspath.asp?newsid=01325126635548568
아이브 '키치' 음원사이트 올킬…MV 트렌딩 월드와이드 연일 1위,http://www.newsis.com/view/?id=NISX20230329_0002245544&cID=10601&pID=10600
"[단독] '대세 걸그룹' 아이브, 완전체로 '아는 형님' 뜬다",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202303301408488553&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news
"아이브 안유진, 심쿵 부르는 파자마 자태…""반짝반짝""",http://moneys.mt.co.kr/news/mwView.php?no=2023033012023451162
"돌아온 아이브, 선공개곡 ‘키치’ 우뚝",http://sports.khan.co.kr/news/sk_index.html?art_id=202303281341003&sec_id=540101&pt=nv
"아이브, 'After LIKE' 성공으로 '감성 장인 입증하며 성장 기대감도 UP'",http://www.topstarnews.net/news/articleView.html?idxno=15316064
임영웅·김호중·RM·아이브·뉴진스 등 KM차트 경합,http://www.fnnews.com/news/202303301612222624
"[단독]라이언전 ""아이브, 비장한 각오로 '키치' 녹음…눈빛 달랐다""(인터뷰)",http://starin.edaily.co.kr/news/newspath.asp?newsid=01334966635548568
뉴진스 장기집권 누가 깰까…아이브∙르세라핌∙에스파 컴백,https://www.hani.co.kr/arti/culture/music/1085486.html
"뉴진스, 코카-콜라 글로벌 앰버서더 발탁",http://starin.edaily.co.kr/news/newspath.asp?newsid=01125046635548568
임영웅·김호중·RM·아이브·뉴진스 등 KM차트 경합,http://www.fnnews.com/news/202303301612222624
뉴진스 대기록 막아선 아이브 '키치'…흥미진진 1위 싸움,http://starin.edaily.co.kr/news/newspath.asp?newsid=01325126635548568
"높은 소리가 구름에까지…뉴진스, '고창입운'이네",http://www.newsis.com/view/?id=NISX20230329_0002245640&cID=10601&pID=10600
강남 터잡은 애플… '뉴진스' 앞세워 콘텐츠 시장 정조준,http://news.tf.co.kr/read/economy/2008046.htm
"""뉴진스 본 적 있어요?"" [MD칼럼]",http://www.mydaily.co.kr/new_yk/html/read.php?newsid=202303301739603137&ext=na&utm_campaign=naver_news&utm_source=naver&utm_medium=related_news
韓 5번째 애플스토어 강남서 31일 개장…뉴진스와 콜라보도,https://www.news1.kr/articles/4997206
"뉴진스, 'Ditto' 성공으로 '대중적 인기 입증하며 존재감 빛내'",http://www.topstarnews.net/news/articleView.html?idxno=15315894
"뉴진스 “‘OMG’ 공간음향, 옆에서 부른다는 착각들 것”",http://sports.khan.co.kr/news/sk_index.html?art_id=202303291453003&sec_id=540301&pt=nv
"방탄소년단·임영웅·손흥민·뉴진스·블랙핑크, 3월 스타 브랜드평판 최상위",https://www.etnews.com/20230330000297
